id;english;german;sentence;sentenceGerman
all-001;apple;Apfel;I eat an apple every day.;Ich esse jeden Tag einen Apfel.
all-002;book;Buch;This book is very interesting.;Dieses Buch ist sehr interessant.
all-003;chair;Stuhl;Please sit on the chair.;Bitte setz dich auf den Stuhl.
all-004;window;Fenster;Open the window, please.;Öffne bitte das Fenster.
all-005;teacher;Lehrerin;The teacher explains the task.;Die Lehrerin erklärt die Aufgabe.
all-006;homework;Hausaufgaben;I do my homework after school.;Ich mache meine Hausaufgaben nach der Schule.
all-007;friend;Freund;My friend lives near me.;Mein Freund wohnt in meiner Nähe.
all-008;question;Frage;I have a question.;Ich habe eine Frage.
all-009;answer;Antwort;Her answer is correct.;Ihre Antwort ist richtig.
all-010;school;Schule;Our school starts at eight.;Unsere Schule beginnt um acht.
all-011;morning;Morgen;I brush my teeth in the morning.;Ich putze morgens meine Zähne.
all-012;evening;Abend;We watch a film in the evening.;Wir schauen abends einen Film.
all-013;weather;Wetter;The weather is nice today.;Das Wetter ist heute schön.
all-014;library;Bibliothek;The library is quiet.;Die Bibliothek ist ruhig.
all-015;break;Pause;We play outside during the break.;Wir spielen in der Pause draußen.
